STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1960,,3716,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1961,,3616,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1962,,4037,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1963,,3929,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1964,,3857,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1965,,4057,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1966,,4050,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1967,,4124,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1968,,4098,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1969,,4193,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1970,,4154,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1971,,4387,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1972,,4121,,,,,
