STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,agedef,Age definition,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1990,,6339,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1991,,6740,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1992,,6440,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1993,,5826,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1994,,6141,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1995,,5715,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1996,,6355,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1997,,6591,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1998,,7574,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,1999,,8075,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2000,,8121,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2001,,8824,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2002,,9452,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2003,,7746,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2004,,8480,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2005,,8287,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2006,,9001,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2007,,10674,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2008,,10058,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2009,,9168,,,,,
dataflow,ESTAT:MIGR_EMI2(1.0),Emigration by age and sex,A,Annual,TOTAL,Total,REACH,Age reached during the year,NR,Number,T,Total,LU,Luxembourg,2010,,9302,,,,,
