STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,purchase,Purchases,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2007-Q1,,90.67,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2007-Q2,,91.29,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2007-Q3,,95.00,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2007-Q4,,94.48,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2008-Q1,,94.05,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2008-Q2,,96.77,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2008-Q3,,96.42,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2008-Q4,,96.61,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2009-Q1,,94.31,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2009-Q2,,94.90,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2009-Q3,,94.04,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2009-Q4,,96.19,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2010-Q1,,99.94,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2010-Q2,,98.56,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2010-Q3,,100.08,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2010-Q4,,101.42,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2011-Q1,,100.99,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2011-Q2,,103.41,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2011-Q3,,103.41,,,,,
dataflow,ESTAT:PRC_HPI_Q(1.0),House price index (2015 = 100) - quarterly data,Q,Quarterly,TOTAL,Total,I10_Q,"Quarterly index, 2010=100",LU,Luxembourg,2011-Q4,,106.90,,,,,
