STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1960,,313050,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1961,,314889,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1962,,318800,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1963,,322700,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1964,,325500,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1965,,330000,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1966,,333000,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1967,,334790,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1968,,335200,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1969,,336500,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1970,,338507,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1971,,339841,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1972,,345000,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1973,,348200,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1974,,352700,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1975,,357400,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1976,,360500,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1977,,360962,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1978,,361753,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1979,,362261,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1980,,363450,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1981,,364850,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1982,,365600,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1983,,365450,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1984,,365794,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1985,,366202,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1986,,367210,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1987,,369500,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1988,,372000,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1989,,374900,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1990,,379300,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1991,,384400,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1992,,389600,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1993,,394750,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1994,,400200,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1995,,405650,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1996,,411600,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1997,,416850,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1998,,422050,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,1999,,427350,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2000,,433600,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2001,,439000,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2002,,444050,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2003,,448300,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2004,,454960,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2005,,461230.0,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2006,,469086.0,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2007,,476187.0,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2008,,483799.0,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2009,,493500.0,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2010,,502066.0,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2011,,511840,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2012,,524853,,b,break in time series,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2013,,537039,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2014,,549680,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2015,,562958,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2016,,576249,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2017,,590667,,b,break in time series,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2018,,602005,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2019,,613894,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2020,,626108,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2021,,634730,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2022,,645397,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2023,,660809,,,,,
dataflow,ESTAT:DEMO_PJANGROUP(1.0),Population on 1 January by age group and sex,A,Annual,NR,Number,T,Total,TOTAL,Total,LU,Luxembourg,2024,,672050,,,,,
