STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,indic,Indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-01,,1.3,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-02,,1.5,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-03,,1.3,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-04,,1.1,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-05,,1.1,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-06,,1.2,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-07,,1.3,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-08,,1.4,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-09,,1.7,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-10,,1.7,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-11,,1.5,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1997-12,,1.5,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-01,,1.5,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-02,,1.1,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-03,,1.3,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-04,,1.1,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-05,,1.3,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-06,,1.2,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-07,,1.2,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-08,,1.0,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-09,,0.7,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-10,,0.5,,,,,
dataflow,ESTAT:EI_CPHI_M(1.0),Harmonised index of consumer prices - monthly data,M,Monthly,RT12,Growth rate (t/t-12),NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CP-HI00,HICP - All items (HICP=harmonized index of consumer prices),LU,Luxembourg,1998-11,,0.5,,,,,
