STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),sizeclas,Size classes in number of employees,indic_em,Employment indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2008-Q1,,2234,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2008-Q2,,2279,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2008-Q3,,2101,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2008-Q4,,1602,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2009-Q1,,1520,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2009-Q2,,1215,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2009-Q3,,1153,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2009-Q4,,1103,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2010-Q1,,1414,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2010-Q2,,1730,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2010-Q3,,2244,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2010-Q4,,2316,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2011-Q1,,2729,,,,,
dataflow,ESTAT:JVS_Q_NACE2(1.0),Job vacancy statistics by NACE Rev. 2 activity - quarterly data (from 2001 onwards),Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),A-S,All NACE activities (except activities of households as employers and as own use producers; activities of extra-territorial organisations and bodies),TOTAL,Total,JOBVAC,Number of job vacancies,LU,Luxembourg,2011-Q2,,3525,,,,,
