STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,s_adj,Seasonal adjustment,bop_item,Balance of payments item,sector10,Sector (ESA 2010),sectpart,Counterpart sector (ESA 2010),stk_flow,Stock or flow,partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2002-Q1,,1175.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2002-Q2,,920.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2002-Q3,,-172.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2002-Q4,,-20.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2003-Q1,,256.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2003-Q2,,-51.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2003-Q3,,895.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2003-Q4,,774.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2004-Q1,,919.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2004-Q2,,-246.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2004-Q3,,503.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2004-Q4,,816.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2005-Q1,,631.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2005-Q2,,9.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2005-Q3,,945.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2005-Q4,,516.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2006-Q1,,619.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2006-Q2,,270.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2006-Q3,,938.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2006-Q4,,445.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2007-Q1,,391.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2007-Q2,,565.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2007-Q3,,818.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2007-Q4,,687.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2008-Q1,,1095.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2008-Q2,,432.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2008-Q3,,731.0,,,,,
dataflow,ESTAT:TIPSBP40(1.0),Current account balance - quarterly data,Q,Quarterly,NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),CA,Current account,S1,Total economy,S1,Total economy,BAL,Balance,WRL_REST,Rest of the world,MIO_NAC,Million units of national currency,LU,Luxembourg,2008-Q4,,192.0,,,,,
